Название,Марка,Модель,"Пробег, км","Мощность двигателя, л","Мощность двигателя, л.с",Год выпуска,"Цена от, руб","Цена до, руб",Цвет кузова,Коробка передач,Привод,Тип топлива,Город продажи
Haval F7 II,Haval,F7 II,Новый,2.0,192,2025,3 299 000 ,Not available,Tech Plus,робот,полный,Бензин,Обнинск
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,2 110 000 ,Not available,Active AWD,робот,полный,Бензин,Тула (170 км от Москвы)
Haval Dargo X,Haval,Dargo X,Новый,2.0,192,2024,3 186 060 ,Not available,X Premium,робот,полный,Бензин,Рязань (180 км от Москвы)
Haval H9 I Рестайлинг,Haval,H9 I Рестайлинг,117 870,2.0,190,2018,Not available,Not available,белый,автомат,полный,Дизель,Путилково
Geely Preface I,Geely,Preface I,10 000,2.0,200,2024,2 650 000,2 650 000,серый,робот,передний,Бензин,Калуга (160 км от Москвы)
Chery Tiggo 7 Pro Max I,Chery,Tiggo 7 Pro Max I,Новый,1.6,150,2024,3 070 000,3 070 000,Ultimate,робот,передний,Бензин,Тула (170 км от Москвы)
Haval F7 I Рестайлинг,Haval,F7 I Рестайлинг,122 011,1.5,150,2023,Not available,Not available,серый,робот,передний,Бензин,Тимохово
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2024,1 499 000 ,Not available,Action,механика,передний,Бензин,Калуга (160 км от Москвы)
Geely Atlas Pro,Geely,Atlas Pro,43 000,1.5,177,2021,Not available,Not available,чёрный,робот,полный,Бензин,Реутов
Haval Dargo X,Haval,Dargo X,13 000,2.0,192,2024,2 750 000,2 750 000,чёрный,робот,полный,Бензин,Электроугли
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2025,1 849 900 ,Not available,Prime,робот,передний,Бензин,Рязань (180 км от Москвы)
Haval F7 I Рестайлинг,Haval,F7 I Рестайлинг,19 536,1.5,150,2022,2 040 000,2 040 000,белый,робот,полный,Бензин,Егорьевск
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,150,2025,2 649 000 ,Not available,Tech+,робот,полный,Бензин,Владимир (170 км от Москвы)
Chery Tiggo 7 Pro I,Chery,Tiggo 7 Pro I,67 000,1.5,147,2022,1 700 000,1 700 000,серый,вариатор,передний,Бензин,Владимир (170 км от Москвы)
Chery Tiggo 8 Pro Max I Рестайлинг,Chery,Tiggo 8 Pro Max I Рестайлинг,Новый,1.6,186,2024,2 570 000 ,Not available,Elite FWD,робот,передний,Бензин,Тверь (160 км от Москвы)
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,3 070 000,3 070 000,Active AWD,робот,полный,Бензин,Тула (170 км от Москвы)
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,150,2025,2 386 510 ,Not available,Elite,робот,полный,Бензин,Мытищи
Haval F7 II,Haval,F7 II,Новый,1.5,150,2025,2 899 000 ,Not available,Premium,робот,передний,Бензин,Мытищи
Chery Tiggo 7 Pro Plug-in Hybrid,Chery,Tiggo 7 Pro Plug-in Hybrid,Новый,1.5,235,2023,2 835 000 ,Not available,Ultimate,автомат,передний,Гибрид,Рязань (180 км от Москвы)
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2025,1 620 000 ,Not available,Action,вариатор,передний,Бензин,Обнинск
Haval F7 I,Haval,F7 I,84 358,1.5,150,2021,Not available,Not available,серый,робот,полный,Бензин,Рязань (180 км от Москвы)
Haval M6 II,Haval,M6 II,Новый,1.5,143,2024,1 960 000 ,Not available,Family,механика,передний,Бензин,Тверь (160 км от Москвы)
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,2 460 000 ,Not available,Prime AWD,робот,полный,Бензин,Калуга (160 км от Москвы)
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,147,2024,1 849 000 ,Not available,Style,вариатор,передний,Бензин,Рязань (180 км от Москвы)
Chery Arrizo 8,Chery,Arrizo 8,10 900,1.6,186,2023,2 450 000,2 450 000,белый,робот,передний,Бензин,Мытищи
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2025,1 780 000 ,Not available,Active,робот,передний,Бензин,Тула (170 км от Москвы)
Geely Monjaro I,Geely,Monjaro I,Новый,2.0,238,2024,4 261 690 ,Not available,Flagship,автомат,полный,Бензин,Калуга (160 км от Москвы)
Chery Tiggo 8 Pro Max I Рестайлинг,Chery,Tiggo 8 Pro Max I Рестайлинг,Новый,2.0,197,2024,3 350 000 ,Not available,Ultimate 4WD,робот,полный,Бензин,Краснознаменск
Chery Tiggo 4 I Рестайлинг,Chery,Tiggo 4 I Рестайлинг,8 300,1.5,113,2021,Not available,Not available,серый,механика,передний,Бензин,Подольск
Chery Tiggo 7 Pro I,Chery,Tiggo 7 Pro I,102 616,1.5,147,2022,1 200 000,1 200 000,чёрный,вариатор,передний,Бензин,Тимохово
Haval H6 Red Label Sport I,Haval,H6 Red Label Sport I,99 564,1.5,143,2018,1 049 000,1 049 000,белый,механика,полный,Бензин,Лобня
Chery Tiggo 8 I Рестайлинг,Chery,Tiggo 8 I Рестайлинг,47 000,1.5,147,2022,1 850 000,1 850 000,пурпурный,робот,передний,Бензин,Братеево
Geely Atlas Pro,Geely,Atlas Pro,31 823,1.5,177,2022,Not available,Not available,чёрный,робот,полный,Бензин,Люберцы
Chery Tiggo 7 Pro I,Chery,Tiggo 7 Pro I,41 800,1.5,147,2022,Not available,Not available,чёрный,вариатор,передний,Бензин,Пушкино
Haval F7 II,Haval,F7 II,Новый,1.5,150,2025,3 036 140 ,Not available,Premium,робот,передний,Бензин,Мытищи
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 210 000 ,Not available,Active AWD,робот,полный,Бензин,Рязань (180 км от Москвы)
Chery Tiggo 8 Pro Max I Рестайлинг,Chery,Tiggo 8 Pro Max I Рестайлинг,Новый,2.0,197,2024,3 333 000 ,Not available,Ultimate 4WD,робот,полный,Бензин,Калуга (160 км от Москвы)
Haval M6 II,Haval,M6 II,Новый,1.5,143,2024,2 070 000 ,Not available,Family,робот,передний,Бензин,Тверь (160 км от Москвы)
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2025,1 640 000 ,Not available,Action,вариатор,передний,Бензин,Тула (170 км от Москвы)
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,143,2025,2 149 000 ,Not available,Elite,робот,передний,Бензин,Мытищи
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2024,2 040 000 ,Not available,Ultra,робот,передний,Бензин,Калуга (160 км от Москвы)
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,143,2024,2 249 000 ,Not available,Elite,робот,передний,Бензин,Владимир (170 км от Москвы)
Chery Tiggo 7 Pro Max I,Chery,Tiggo 7 Pro Max I,22 000,1.5,147,2023,Not available,Not available,чёрный,вариатор,передний,Бензин,Видное
Chery Arrizo 8,Chery,Arrizo 8,Новый,1.6,150,2024,2 280 000 ,Not available,Active,робот,передний,Бензин,Владимир (170 км от Москвы)
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2025,1 780 000 ,Not available,Active,робот,передний,Бензин,Тула (170 км от Москвы)
Geely Preface I,Geely,Preface I,Новый,2.0,200,2024,2 968 000 ,Not available,Flagship,робот,передний,Бензин,Калуга (160 км от Москвы)
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 060 000 ,Not available,Active AWD,робот,полный,Бензин,Котельники
Chery Tiggo 7 Pro I,Chery,Tiggo 7 Pro I,15 574,1.5,147,2022,1 750 000,1 750 000,белый,вариатор,передний,Бензин,Химки
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 980 000 ,Not available,Ultra AWD,робот,полный,Бензин,Тверь (160 км от Москвы)
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,143,2024,2 192 200 ,Not available,Elite,робот,передний,Бензин,Мытищи
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,150,2025,2 449 000 ,Not available,Tech+,робот,полный,Бензин,Обнинск
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,2 350 000 ,Not available,Active AWD,робот,полный,Бензин,Владимир (170 км от Москвы)
Haval Dargo,Haval,Dargo,7 670,2.0,192,2024,Not available,Not available,белый,робот,полный,Бензин,Северо-Западный административный округ
Chery Tiggo 4 Pro I,Chery,Tiggo 4 Pro I,80 142,1.5,113,2022,910 000,910 000,жёлтый,вариатор,передний,Бензин,Тимохово
Geely Atlas II,Geely,Atlas II,Новый,2.0,200,2024,2 853 190 ,Not available,Flagship Sport,автомат,полный,Бензин,Тверь (160 км от Москвы)
Haval F7 II,Haval,F7 II,Новый,2.0,192,2025,3 499 000 ,Not available,Tech Plus,робот,полный,Бензин,Мытищи
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 319 000 ,Not available,Ultra,робот,передний,Бензин,Тула (170 км от Москвы)
Chery Tiggo 4 Pro I,Chery,Tiggo 4 Pro I,80 142,1.5,113,2022,910 000,910 000,жёлтый,вариатор,передний,Бензин,Тимохово
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,150,2025,2 199 000 ,Not available,Elite,робот,полный,Бензин,Тула (170 км от Москвы)
Chery Tiggo 4 Pro I,Chery,Tiggo 4 Pro I,55 814,1.5,113,2022,967 000,967 000,чёрный,вариатор,передний,Бензин,Тимохово
Chery Tiggo 7 Pro I,Chery,Tiggo 7 Pro I,100 840,1.5,147,2022,Not available,Not available,чёрный,вариатор,передний,Бензин,Королёв
Geely Cityray,Geely,Cityray,Новый,1.5,147,2024,2 544 190 ,Not available,Flagship Sport,робот,передний,Бензин,Красногорск
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2024,1 550 000 ,Not available,Action,вариатор,передний,Бензин,Котельники
Haval H9 II,Haval,H9 II,6 166,2.0,218,2024,4 095 000,4 095 000,зелёный,автомат,полный,Бензин,Тверь (160 км от Москвы)
Geely Coolray I,Geely,Coolray I,73 000,1.5,150,2023,1 800 000,1 800 000,серый,робот,передний,Бензин,Щёлково
Geely Coolray I,Geely,Coolray I,35 350,1.5,150,2022,Not available,Not available,серый,робот,передний,Бензин,Лобня
Chery Tiggo 7 Pro I,Chery,Tiggo 7 Pro I,28 804,1.5,147,2023,2 027 025,2 027 025,белый,вариатор,передний,Бензин,Исаково
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,147,2024,1 910 000 ,Not available,Style,вариатор,передний,Бензин,Котельники
Chery Tiggo (T11) I,Chery,Tiggo (T11) I,131 000,2.4,129,2007,300 000,300 000,чёрный,механика,передний,Бензин,Волоколамск (100 км от Москвы)
Geely Okavango I Рестайлинг,Geely,Okavango I Рестайлинг,19 800,2.0,200,2023,2 850 000,2 850 000,чёрный,робот,передний,Бензин,Подольск
Haval Jolion I,Haval,Jolion I,145 436,1.5,143,2022,1 100 000,1 100 000,жёлтый,робот,передний,Бензин,Тверь (160 км от Москвы)
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,2 310 000 ,Not available,Prime,робот,передний,Бензин,Обнинск
Haval M6 II,Haval,M6 II,Новый,1.5,143,2024,1 934 050 ,Not available,Family,робот,передний,Бензин,Рязань (180 км от Москвы)
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,36 500,1.5,150,2024,2 100 000,2 100 000,чёрный,робот,полный,Бензин,Пушкино
Haval Jolion I,Haval,Jolion I,53 493,1.5,143,2022,Not available,Not available,серый,робот,передний,Бензин,Электросталь
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,7 000,1.5,147,2023,1 600 000,1 600 000,чёрный,вариатор,передний,Бензин,Суздальский район (180 км от Москвы)
Geely Atlas II,Geely,Atlas II,Новый,2.0,200,2024,2 735 894 ,Not available,Luxury,автомат,полный,Бензин,Красногорск
Chery Tiggo 7 Pro Max I,Chery,Tiggo 7 Pro Max I,70 000,1.5,147,2023,Not available,Not available,белый,вариатор,передний,Бензин,Раменское
Geely Atlas II,Geely,Atlas II,7 200,2.0,200,2024,3 150 000,3 150 000,белый,автомат,полный,Бензин,Егорьевск
Chery Tiggo 4 Pro I,Chery,Tiggo 4 Pro I,3 000,1.5,113,2024,1 850 000,1 850 000,чёрный,вариатор,передний,Бензин,Рязань (180 км от Москвы)
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,2 350 000 ,Not available,Active AWD,робот,полный,Бензин,Владимир (170 км от Москвы)
Haval F7x I,Haval,F7x I,35 317,2.0,190,2020,Not available,Not available,синий,робот,полный,Бензин,Котельники
Chery Tiggo 7 Pro Max I,Chery,Tiggo 7 Pro Max I,16 000,1.6,150,2023,Not available,Not available,белый,робот,полный,Бензин,Калуга (160 км от Москвы)
Chery Tiggo 7 Pro Max I,Chery,Tiggo 7 Pro Max I,16 000,1.6,150,2023,Not available,Not available,белый,робот,полный,Бензин,Калуга (160 км от Москвы)
Chery Tiggo 4 Pro I,Chery,Tiggo 4 Pro I,Новый,1.5,113,2024,1 730 000 ,Not available,Family,вариатор,передний,Бензин,Тула (170 км от Москвы)
Haval M6 II,Haval,M6 II,Новый,1.5,143,2024,1 779 000 ,Not available,Family,механика,передний,Бензин,Тула (170 км от Москвы)
Geely Coolray I,Geely,Coolray I,51 558,1.5,150,2021,Not available,Not available,серый,робот,передний,Бензин,Котельники
Geely Atlas I,Geely,Atlas I,104 000,1.8,184,2020,Not available,Not available,белый,автомат,полный,Бензин,Рязань (180 км от Москвы)
Geely Atlas Pro,Geely,Atlas Pro,6 442,1.5,177,2024,2 550 000,2 550 000,серый,робот,полный,Бензин,Калуга (160 км от Москвы)
Geely Emgrand II,Geely,Emgrand II,17 256,1.5,122,2023,1 695 000,1 695 000,серый,автомат,передний,Бензин,Старая Купавна
Haval H9 I Рестайлинг,Haval,H9 I Рестайлинг,97 356,2.0,190,2020,Not available,Not available,белый,автомат,полный,Дизель,Коломна (100 км от Москвы)
Geely Atlas II,Geely,Atlas II,Новый,2.0,200,2024,3 709 190 ,Not available,Flagship Sport,автомат,полный,Бензин,Калуга (160 км от Москвы)
Chery Tiggo 4 I Рестайлинг,Chery,Tiggo 4 I Рестайлинг,90 000,1.5,147,2021,1 500 000,1 500 000,белый,робот,передний,Бензин,Калуга (160 км от Москвы)
Haval H2,Haval,H2,70 000,1.5,150,2019,1 555 555,1 555 555,белый,автомат,передний,Бензин,Лыткарино
Chery Bonus 3 (E3/A19),Chery,Bonus 3 (E3/A19),79 098,1.5,109,2015,630 000,630 000,чёрный,механика,передний,Бензин,Щёлково
Haval H5 II,Haval,H5 II,Новый,2.0,200,2024,3 999 000,3 999 000,Elite,автомат,полный,Бензин,Тверь (160 км от Москвы)
Haval H3,Haval,H3,Новый,1.5,143,2024,2 449 000 ,Not available,Tech+,робот,передний,Бензин,Владимир (170 км от Москвы)
Haval F7 I Рестайлинг,Haval,F7 I Рестайлинг,39 280,2.0,190,2023,2 100 000,2 100 000,красный,робот,полный,Бензин,Люберцы
Haval F7 I,Haval,F7 I,120 000,2.0,190,2019,Not available,Not available,чёрный,робот,полный,Бензин,Павловский Посад
Chery Tiggo 8 Pro Max I Рестайлинг,Chery,Tiggo 8 Pro Max I Рестайлинг,Новый,2.0,197,2024,3 350 000 ,Not available,Ultimate 4WD,робот,полный,Бензин,Краснознаменск
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2024,1 568 000 ,Not available,Active,робот,передний,Бензин,Балашиха
Geely Monjaro I,Geely,Monjaro I,Новый,2.0,238,2024,3 599 000 ,Not available,Luxury,автомат,полный,Бензин,Рязань (180 км от Москвы)
Chery Tiggo 4 Pro I,Chery,Tiggo 4 Pro I,4 500,1.5,147,2023,1 820 000,1 820 000,серый,вариатор,передний,Бензин,Тула (170 км от Москвы)
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2024,1 499 000 ,Not available,Action,механика,передний,Бензин,Калуга (160 км от Москвы)
Chery Tiggo 7 Pro Max I,Chery,Tiggo 7 Pro Max I,67 000,1.5,147,2023,1 750 000,1 750 000,белый,вариатор,передний,Бензин,Подольск
Haval F7 I Рестайлинг,Haval,F7 I Рестайлинг,21 000,2.0,190,2024,Not available,Not available,белый,робот,полный,Бензин,Серпухов
Haval Jolion I,Haval,Jolion I,152 338,1.5,143,2021,1 045 000,1 045 000,серый,робот,передний,Бензин,Северо-Западный административный округ
Chery Tiggo (T11) I Рестайлинг (FL),Chery,Tiggo (T11) I Рестайлинг (FL),190 000,1.6,126,2014,Not available,Not available,чёрный,механика,передний,Бензин,Калуга (160 км от Москвы)
Geely Monjaro (Xingyue L) I,Geely,Monjaro (Xingyue L) I,26 659,2.0,238,2023,3 250 000,3 250 000,серый,автомат,полный,Бензин,Мытищи
Geely Atlas II,Geely,Atlas II,Новый,2.0,200,2024,3 217 190 ,Not available,Flagship Sport,робот,передний,Бензин,Красногорск
Chery Tiggo 8 Pro I,Chery,Tiggo 8 Pro I,107 500,1.6,186,2021,1 790 000,1 790 000,синий,робот,передний,Бензин,Королёв
Geely Okavango I Рестайлинг,Geely,Okavango I Рестайлинг,Новый,2.0,200,2024,2 809 994 ,Not available,Flagship,робот,передний,Бензин,Красногорск
Geely Monjaro (Xingyue L) I,Geely,Monjaro (Xingyue L) I,73 600,2.0,238,2023,2 900 000,2 900 000,синий,автомат,полный,Бензин,Обнинск
Geely Atlas Pro,Geely,Atlas Pro,11 272,1.5,177,2024,2 520 000,2 520 000,чёрный,робот,полный,Бензин,Электросталь
Haval Jolion I,Haval,Jolion I,55 000,1.5,150,2023,1 800 000,1 800 000,чёрный,робот,полный,Бензин,Подольск
Geely Monjaro I,Geely,Monjaro I,Новый,2.0,238,2024,3 902 190 ,Not available,Flagship,автомат,полный,Бензин,Тула (170 км от Москвы)
Chery Tiggo 8 Pro Max I Рестайлинг,Chery,Tiggo 8 Pro Max I Рестайлинг,Новый,2.0,197,2024,2 785 000 ,Not available,Dreamline 4WD,робот,полный,Бензин,Владимир (170 км от Москвы)
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,143,2025,2 149 000,2 149 000,Comfort,механика,передний,Бензин,Мытищи
Chery Tiggo 8 I,Chery,Tiggo 8 I,62 170,1.6,190,2021,1 635 000,1 635 000,белый,робот,передний,Бензин,Северо-Западный административный округ
Haval F7 II,Haval,F7 II,Новый,2.0,192,2025,3 499 000 ,Not available,Tech Plus,робот,полный,Бензин,Мытищи
Haval F7x I Рестайлинг,Haval,F7x I Рестайлинг,18 687,1.5,150,2022,Not available,Not available,синий,робот,полный,Бензин,Коломна (100 км от Москвы)
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,143,2024,2 449 000 ,Not available,Premium,робот,передний,Бензин,Тула (170 км от Москвы)
Chery Tiggo 7 Pro I,Chery,Tiggo 7 Pro I,52 492,1.5,147,2021,Not available,Not available,красный,вариатор,передний,Бензин,Ржавки
Geely Atlas II,Geely,Atlas II,Новый,2.0,200,2024,3 102 990 ,Not available,Flagship Sport,автомат,полный,Бензин,Красногорск
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,9 300,1.5,150,2024,2 200 000,2 200 000,чёрный,робот,полный,Бензин,Рязань (180 км от Москвы)
Haval F7 I Рестайлинг,Haval,F7 I Рестайлинг,5 000,1.5,150,2024,2 200 000,2 200 000,чёрный,робот,передний,Бензин,Одинцово
Geely Emgrand II,Geely,Emgrand II,Новый,1.5,122,2024,1 940 000 ,Not available,Luxury,автомат,передний,Бензин,Рязань (180 км от Москвы)
Geely Atlas Pro,Geely,Atlas Pro,Новый,1.5,177,2024,2 526 754 ,Not available,Flagship,робот,полный,Бензин,Красногорск
Chery Tiggo 4 I Рестайлинг,Chery,Tiggo 4 I Рестайлинг,83 707,1.5,113,2022,774 400,774 400,белый,вариатор,передний,Бензин,Химки
Geely Coolray I,Geely,Coolray I,4 600,1.5,150,2023,2 000 000,2 000 000,белый,робот,передний,Бензин,Серпухов
Haval F7 II,Haval,F7 II,Новый,1.5,150,2025,2 699 000 ,Not available,Elite,робот,передний,Бензин,Владимир (170 км от Москвы)
Chery Tiggo 3 I,Chery,Tiggo 3 I,150 000,1.6,126,2017,Not available,Not available,коричневый,вариатор,передний,Бензин,Подольск
Geely Cityray,Geely,Cityray,Новый,1.5,147,2024,2 644 190 ,Not available,Flagship,робот,передний,Бензин,Красногорск
Geely Monjaro (Xingyue L) I,Geely,Monjaro (Xingyue L) I,26 659,2.0,238,2023,3 250 000,3 250 000,серый,автомат,полный,Бензин,Мытищи
Haval F7 II,Haval,F7 II,Новый,1.5,150,2025,2 769 090 ,Not available,Elite,робот,передний,Бензин,Мытищи
Geely Atlas I,Geely,Atlas I,94 820,1.8,184,2018,1 480 000,1 480 000,белый,автомат,полный,Бензин,Люберцы
Haval H5 II,Haval,H5 II,Новый,2.0,150,2024,3 799 000 ,Not available,Elite,автомат,полный,Дизель,Владимир (170 км от Москвы)
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2025,1 690 000 ,Not available,Active,робот,передний,Бензин,Обнинск
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2024,1 619 940 ,Not available,Active,робот,передний,Бензин,Балашиха
Geely Atlas I,Geely,Atlas I,167 611,2.4,149,2018,1 339 000,1 339 000,белый,автомат,полный,Бензин,Краснознаменск
Haval H3,Haval,H3,Новый,1.5,177,2024,2 649 000 ,Not available,Tech+,робот,полный,Бензин,Тула (170 км от Москвы)
Chery Tiggo (T11) I,Chery,Tiggo (T11) I,266 114,2.4,129,2007,260 000,260 000,красный,механика,передний,Бензин,Тверь (160 км от Москвы)
Geely Atlas II,Geely,Atlas II,Новый,2.0,200,2024,2 935 894 ,Not available,Flagship,автомат,полный,Бензин,Красногорск
Haval Dargo,Haval,Dargo,23 000,2.0,192,2023,2 750 000,2 750 000,чёрный,робот,полный,Бензин,Ногинск
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2025,1 760 000 ,Not available,Active,робот,передний,Бензин,Калуга (160 км от Москвы)
Geely Preface I,Geely,Preface I,13 245,2.0,200,2024,2 759 000,2 759 000,чёрный,робот,передний,Бензин,Северо-Западный административный округ
Geely Emgrand II,Geely,Emgrand II,Новый,1.5,122,2024,1 699 000 ,Not available,Standard,механика,передний,Бензин,Рязань (180 км от Москвы)
Chery Tiggo 8 Pro Max I Рестайлинг,Chery,Tiggo 8 Pro Max I Рестайлинг,11 999,2.0,197,2024,2 880 000,2 880 000,серый,робот,полный,Бензин,Архангельское
Chery Tiggo 8 Pro Max I Рестайлинг,Chery,Tiggo 8 Pro Max I Рестайлинг,Новый,2.0,197,2024,3 020 000 ,Not available,Dreamline 4WD,робот,полный,Бензин,Владимир (170 км от Москвы)
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,2 260 000 ,Not available,Active AWD,робот,полный,Бензин,Калуга (160 км от Москвы)
Haval Dargo,Haval,Dargo,7 670,2.0,192,2024,Not available,Not available,белый,робот,полный,Бензин,Северо-Западный административный округ
Haval F7 I Рестайлинг,Haval,F7 I Рестайлинг,55 000,2.0,190,2022,2 160 000,2 160 000,серый,робот,полный,Бензин,Рязань (180 км от Москвы)
Chery Tiggo 7 Pro Max I,Chery,Tiggo 7 Pro Max I,6 644,1.6,150,2024,2 079 000,2 079 000,серый,робот,передний,Бензин,Исаково
Chery Tiggo 7 I,Chery,Tiggo 7 I,116 390,2.0,122,2019,Not available,Not available,голубой,вариатор,передний,Бензин,Тверь (160 км от Москвы)
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,2 260 000 ,Not available,Active AWD,робот,полный,Бензин,Калуга (160 км от Москвы)
Chery Tiggo 7 Pro I,Chery,Tiggo 7 Pro I,55 000,1.5,147,2020,Not available,Not available,красный,вариатор,передний,Бензин,Путилково
Chery Kimo (A1),Chery,Kimo (A1),105 044,1.3,83,2009,175 000,175 000,голубой,механика,передний,Бензин,Тверь (160 км от Москвы)
Geely Coolray I,Geely,Coolray I,84 500,1.5,150,2021,Not available,Not available,серый,робот,передний,Бензин,Звенигород
Haval F7 I,Haval,F7 I,80 000,1.5,150,2019,1 590 000,1 590 000,белый,робот,полный,Бензин,Люберцы
Geely Monjaro I,Geely,Monjaro I,10 000,2.0,238,2023,3 500 000,3 500 000,зелёный,автомат,полный,Бензин,Сергиев Посад
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,1 981 000 ,Not available,Active AWD,робот,полный,Бензин,Балашиха
Geely Atlas Pro,Geely,Atlas Pro,31 823,1.5,177,2022,Not available,Not available,чёрный,робот,полный,Бензин,Люберцы
Haval F7 II,Haval,F7 II,Новый,2.0,192,2025,3 330 060 ,Not available,Tech Plus,робот,полный,Бензин,Рязань (180 км от Москвы)
Geely Coolray I,Geely,Coolray I,79 325,1.5,150,2021,1 600 000,1 600 000,красный,робот,передний,Бензин,Красногорск
Geely Tugella I,Geely,Tugella I,108 605,2.0,238,2021,Not available,Not available,красный,автомат,полный,Бензин,Калуга (160 км от Москвы)
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 520 095 ,Not available,Ultra AWD,робот,полный,Бензин,Балашиха
Geely Atlas II,Geely,Atlas II,Новый,2.0,200,2024,3 035 894 ,Not available,Flagship Sport,автомат,полный,Бензин,Красногорск
Haval Jolion I,Haval,Jolion I,137 383,1.5,143,2022,1 050 000,1 050 000,белый,робот,передний,Бензин,Тимохово
Chery Tiggo 8 Pro Max I,Chery,Tiggo 8 Pro Max I,27 928,2.0,197,2022,2 400 000,2 400 000,серый,робот,полный,Бензин,Истра
Chery Tiggo (T11) I,Chery,Tiggo (T11) I,45 852,1.6,119,2013,650 000,650 000,чёрный,механика,передний,Бензин,Тула (170 км от Москвы)
Geely Emgrand EC7,Geely,Emgrand EC7,172 000,1.8,126,2013,Not available,Not available,пурпурный,вариатор,передний,Бензин,Протвино (100 км от Москвы)
Chery Tiggo 7 Pro Max I,Chery,Tiggo 7 Pro Max I,97 000,1.6,150,2023,Not available,Not available,серый,робот,полный,Бензин,Краснознаменск
